Member ID,Date,Review,Student Review,Campus/Facilities,Club/Societies,Careers Service,Wifi/Internet
887111,1st June 23,I like my university very much!,5,5,5,5,5
1287025,31st May 23,"I am from the USA, so I am comparing my experience to my home UNI to my time at Exeter. My UNI in the US had a lot larger campus, and the gym/rec building was free for students because it was part of the tuition. The buildings at my home UNI were also a lot more modern, and there were more facilities. There was a building for blowing glass, 3D printing, and other things for design. The forum isn't the best. My UNI had a lot larger library, and there was a lot more space for studying. The clubs/societies at Exeter almost all require money to join, and more money each time you want to go to a club event. My UNI back home allocated money to the different clubs, so many were free. The only time you had to pay for clubs at my home UNI was if you were going on a trip. My UNI back home doesn't have a student union. I did not interact with the career services in Exeter. One thing Exeter did better than my home UNI was the internet. My home UNI had some trouble with internet.",3.4,3,3,3,5
1286468,20th May 23,"Exeter University is generally a lovely place to study at. The Exeter-based campuses are awesome, with a great balance of green/study space. The wifi has been unreliable at times, but overall I don’t have any complaints.",4,5,4,4,3
486467,20th May 23,"Nice facilities and some great lecturers! The mix of online and in-person learning has been very useful. I can’t speak for all societies, but at least the few I’ve joined over the years haven’t had many things going on. So I suggest choosing your clubs wisely!",4.4,4,4,4,5
486456,19th May 23,The uni is good they provide me with alot of support ultimately in wellbeing services. I am glad they really take into accoun student wellbeing as they priority,4.8,5,5,5,5
686418,18th May 23,Exeter university has been great! An extremely supportive university I have enjoyed my three years being here.,4.2,5,3,5,4
585926,10th May 23,"Very good location, just a few minutes walk from the university, excellent facilities, I would recommend it.",5,5,5,5,5
485715,4th May 23,"Good, it’s a good university and all the staff are good.",4,4,4,4,4
485636,3rd May 23,It's one of the best UK university to study. I am currently doing Masters in Business Analytics from the University. All the professors have been good and helpful throughout the course and have helped with all minor to major doubts.,5,5,5,5,5
485635,3rd May 23,"Exeter University was my first choice and I don't regret my decision. The forum is my favourite area and the grounds are incredible, for a day or night time walk. If you like areas of greenery, large grounds, a supporting and diverse community, then this is the one to go for.",4.6,4,4,5,5
1385367,28th April 23,"The university offers a large array of support and help for career opportunities and self-development. If you're a student who struggles with any learning or mental health difficulties, the university and its staff are willing and supportive to help you achieve your best.",4,4,3,5,4
985345,28th April 23,"I’ve never used the career service but I’ve heard it’s generally okay. I am particularly fond of the facilities at the university, especially their sports facilities. The internet is okay, although it doesn’t work sometimes. The wellbeing department could be more prioritised and would benefit from more funding.",3.6,4,4,3,3
1185339,28th April 23,Really Brilliant， high teaching quality,5,5,5,5,5
685248,27th April 23,"Great university with fantastic people and campuses. However, St Luke's is sometimes left behind a bit, so be sure to visit Streatham too.",3.2,4,4,3,4
1184942,27th April 23,"It's a great uni, especially if you want to access nature before or after lectures. I wouldn't have wanted to go anywhere else for uni.",4.6,5,5,4,4
1184902,25th April 23,"A good university, plenty of student support.",4,4,5,4,3
984641,25th April 23,"Exeter is a great university, with a variety of facilities and societies. The careers team have a range of insightful opportunities available.",4.2,5,4,5,3
684626,20th April 23,"Beautiful campus to study on, wish the library and study spaces were bigger. More welfare support needed also.",3.2,3,3,3,3
1084625,20th April 23,"The school covers a wide area, beautiful environment, complete facilities, has a good learning environment and a large number of various physical and mental support",4.6,5,4,5,5
684607,20th April 23,The school has good facilities and provides a good learning environment. But it's far from the city center,4.6,5,5,4,4
1384603,20th April 23,The school is beautiful and the teachers are patient and responsible,5,5,5,5,5
1284571,20th April 23,"This apartment is the best I've come across since I came to Exeter. It is well equipped with a gym and a large leisure area. The front desk of the apartment was also very enthusiastic, especially a sister named wenlanlin.",5,5,5,5,5
684492,19th April 23,Beautiful city. The campus environment is good. I really enjoy Exeter life.,5,5,5,5,5
484450,18th April 23,Great university with very supportive and hardworking lecturers.,3.6,5,4,1,5
1084396,18th April 23,"The school is beautiful and my campus is in the city centre, next to waitrose. waitrose is the biggest supermarket in exeter and I go shopping after class, it's very convenient. It only takes 7 minutes to walk from depot to my campus. It's really a blessing for those who have trouble getting up",5,5,5,5,5
1084377,17th April 23,"Superb, a good experience overall",4,4,4,4,4
484363,17th April 23,"The living environment here is very comfortable, and it takes about ten minutes to walk to the university, which is very convenient. The staff are very kind and enthusiastic, and they have helped me many times to solve the problem that I forgot to bring. Sincerely thanks a lot for their timely help.",5,5,5,5,5
884362,17th April 23,I am very happy here at exeter! I think they emphasize a lot in helping students feel welcomed and happy and that is very important,4,4,4,4,5
1084360,17th April 23,"I particularly like this school, especially the career zone service. The teachers are also very friendly.",5,5,5,5,5
984244,17th April 23,Chilled out and great facilities,5,5,5,5,5
984240,15th April 23,"Lots of space, good facilities and the lecture theatres are really good",3.6,4,3,4,4
1284138,15th April 23,"Bit few study spaces, sometimes get the impression that the uni doesn’t really care about its students, nor its staff. Module choice is alright, but nothing extraordinary. If you decide to study politics/IR, be prepared for a lack of support, teaching yourself about methods and that everything happens really late. It’s a green campus, the library is a bit sad but are other options on campus once you find them. The 2 pound meal is a plus. Be prepared for the hill and high rent.",3,3,2,3,4
784082,13th April 23,"Lovely campus, with an amazing areay of subkects and opportunities, lacks student diversity.",4.6,5,5,5,3
1184031,12th April 23,"Great Uni, prestigious, lots of green space, really knowledgeable lecturers",5,5,5,5,5
1384004,12th April 23,"Had a wonderful experience in exeter, the support I received from faculty, career zone staff was best",5,5,5,5,5
784001,12th April 23,"Exeter has it all. Even though it is a campus based University, the 10minuets walk into the city makes it feel like it’s both city and campus. With the beach 20mins away by train it makes a great weekend excursion whilst at uni.",5,5,5,5,5
683990,12th April 23,The career zone is fantastic and really helpful. There are lots of societies but the wifi can be a bit patchy,4.2,4,5,5,3
783988,11th April 23,"This is the best university for an International student. Best student exposure, career zone facility, well- being service etc. #iloveexeteruni",5,5,5,5,5
983987,11th April 23,"I have had an amazing first year at Exeter. The amount of careers help and the quality of the support, campus and teaching is incredible. I settled in so quickly and believe it was because of all the support that was available to me. The number and range of societies was almost overwhelming but so great! It’s allowed me to find new interests and connect with new people.",4.4,5,5,4,3
983983,11th April 23,The university has a wide range of initiatives and plans but rarely executes it to a high standard. For example EDI training within societies.,2.6,2,1,4,2
1183982,11th April 23,University of Exeter is very diverse and massive university. I really like the sports centre though you have to climb to hill to get there which is a bit of a task.,4.6,4,4,5,5
483978,11th April 23,"Being my first time, studying in an away country, University of Exeter provided me with a wonderful experience. Be it learning a new tech skill, adjusting to new environment or help with cost of living, the university provided all the help and made me feel welcome and secure. The career zone is really helpful and the library is filled with plethora of resources to develop skill and knowledge.",5,5,5,5,5
483971,11th April 23,"University is good, there could be more and diverse eating options, student guild and facilities are great. But university is huge and locating certain buildings can be bit challenging as it’s a hilly campus.",4.6,5,4,5,4
783966,11th April 23,I am studying at the Cornwall campus. I have not had any issues with the internet. I know there is great support for careers however I haven’t yet used them. I know where the student union is however I haven’t had anything to do with it and I’m not sure of what services they provide. I am a committee member for a society and I feel like the support/training has not been great. I love the campus,3.8,4,3,4,5
683964,11th April 23,"Great career service, which provides supports for all stages of career planning.",4,4,4,5,3
783961,11th April 23,The campus is very good and student assistance work very fast but the regulations for compulsory attendance is very weak. I see there is very few students attending the class and it’s really make group study less interesting.,4.4,5,5,3,5
1183960,11th April 23,"Lots of space, good facilities and the lecture theatres are generally really good",3.8,5,4,3,3
483954,11th April 23,Careers’ service is fab; enjoy the societies and clubs on offer; limited contact hours for humanities degrees,4.4,4,4,5,5
1083955,11th April 23,"Lovely university- great teaching and support, especially the welfare department. So many opportunities and resources.",5,5,5,5,5
483953,11th April 23,Studying at the University of Exeter has been the one of the best decisions I have made. I hated secondary school due to personal problems yet I always loved learning. I came to Exeter for a fresh start and to have the social life I never had in my childhood and it has been the best thing that has happened to me. I have made some amazing friends and there are so many opportunities that the university offers from day one. I'm first year and am already part of an international synthetic biology competition over the summer! The amount of support offered is incredible and the campus is beautiful. The local nature walks and wildlife all around is truly special.,4.2,4,5,4,3
1083950,11th April 23,"The library opens 24/7 and you can use theirncomputers there and also at other areas in the Forum which is an open space at the university. There is no limitis for the society you participate in. You can literally still connect to the uni wifi at certain close area out of campus. The career service not only offers workshops and an app to assist students with job application, they also allow you to book one to one appointment so that they can discuss specific issues faced by you.",4.6,5,4,5,4
1283946,11th April 23,Good overall. But should listen to wishes of the student body and cut ties with Shell. The Students Guild also needs to support student protest,3.4,4,4,3,3
783944,11th April 23,"Enjoyed my time here a lot, lovely environment and classes have been engaging. Can’t say the provision during recent strikes or indeed the year of my degree which was online due to covid was brilliant, and it was very isolating, but the past two in person years have made up for that. Some staff in the English department can be disorganised but the majority are brilliant and student focused in their work and aims and support. Library has good and useful resources. Lots of opportunity to work on campus with great pay and hours - I personally work at the Career Zone and have found it rewarding, fun, and helpful in gaining knowledge towards my future career choices.",4.6,5,4,5,5
1283921,11th April 23,Amazing support for careers and finding work or internships as well as offerings of mentors and alumni for additional help.,4.2,5,3,5,4
783723,10th April 23,It is truly a good university which helps students to actually learn and grow. Highly recommend!,3.8,4,3,3,5
1283628,6th April 23,Eventful university and loads of fun.,4.6,5,5,4,5
683381,6th April 23,"Great Uni, never regretted coming here) For the last 2 years I was able to play football, be part of many societies and do my degree) I enjoyed everything...",3.8,5,5,4,3
583346,6th April 23,The best accommodation is rowan croft with 700£ a month and has the best spacious studio flat with a personal kitchen and bathroom with a beautiful garden outside.,5,5,5,5,5
1283340,5th April 23,i like my room very much. it is a good place,5,5,5,5,5
1283330,5th April 23,"Great place, good facilities. The wellbeing team need to be more responsive though.",3.8,4,4,4,3
883335,5th April 23,It is a satisfactory university with a beautiful environment and good facilities. The teachers teach seriously and responsibly. The university also provides perfect services.,5,5,5,5,5
883334,5th April 23,"Great University, with a lot of helpful professors and staffs",4,4,4,4,4
1383273,5th April 23,Over all a pretty good university,5,5,5,5,5
983272,5th April 23,very nice and peace friendly professors and students,5,5,5,5,5
1383253,5th April 23,Love it here - really pretty campus and great lecturers,4.4,5,5,3,5
683198,5th April 23,"A great experience, where you can find everything you want",5,5,5,5,5
1383191,4th April 23,Exeter Exeter Exeter Exeter Exeter,5,5,5,5,5
683190,4th April 23,It’s a university that really surprised me in the best way. I was not expecting to meet the people that I met and I’m just really glad I decided to put doubts aside and really go for it.,3.8,4,5,4,3
583175,4th April 23,Very enjoyable experience with great support.,4.2,4,5,4,5
983171,4th April 23,Excellent and beautiful campus. Resources available are excellent. Feel a little lack of inclusion within the university and societies.,4.2,5,3,5,5
1383165,4th April 23,"great overall, better if there is an on time bus service to and from the university",3.8,4,4,4,3
1083085,4th April 23,Seminars should be recorded so they can be accessed later like lectures,4,4,5,4,4
782843,4th April 23,"The campus is lovely and modern, the student union has good events but it is difficult to find info from the website. The same goes for the career page. Wifi is overall not bad but there have been periods when it goes down",4,5,4,4,3
782703,3rd April 23,University of Exeter is absolutely a great place to study. The campus areas are fabulous and it is my pleasure to study here.,5,5,5,5,5
682562,31st March 23,Really enjoyed my experience with the Career Zone especially - such friendly staff and great innovative programmes you can join.,4.4,5,4,5,4
782229,29th March 23,"As a student based on St Luke’s campus, there are great facilities for students. There are lots of teaching rooms and study spaces and the medical library is great. Cross keys cafe has a nice canteen and coffee shop as well as plenty of space to study too.",3.8,4,4,4,4
582070,28th March 23,University of exeter is literally the most beautiful and intellectual university i have been a part of.,5,5,5,5,5
581844,25th March 23,"The gym would have been better if it had Internet. I want to ask how to get into the cinema of our apartment? In addition, all the staff were very nice and would give us some snacks regularly, which we could get at the front desk, which I thought was very nice.",5,5,5,5,5
1281715,23rd March 23,"Nothing can really complain except high tuition fees and less food choices, expensive meal deals too.",4,5,5,4,3
681282,21st March 23,"Great university, lovely location, fantastic faculty, large student diversity and numerous opportunities available for personal growth.",5,5,5,5,5
1181041,20th March 23,"Nice university to study in, all the teachers and classmates are friendly, also has beautiful views.",5,5,5,5,5
1180883,15th March 23,"Exeter is a very good school, the teachers are very responsible and patient, the school environment is beautiful, can learn a lot of knowledge",5,5,5,5,5
1180753,13th March 23,I will miss the time when I stayed here in Exeter. Lovely campus and people.,4.4,5,4,4,5
1280696,10th March 23,Good uni good facilities good faculty,5,5,5,5,5
1280630,9th March 23,Excellent university with wonderful staff and amazing facilities.,5,5,5,5,5
780533,8th March 23,"The university is good, gave enough supports to student during covid",5,5,5,5,5
480035,8th March 23,"Studying here gives me peace of mind. The environment here is very good, and the teachers here are also very nice and patient.",5,5,5,5,5
1279980,7th March 23,"Nice campus, but it’s up on the hill, and you have to hike everyday. Not really a lot of choice for lunch.",3.2,3,3,3,4
779562,1st March 23,"Very happy at Exeter - great teaching, facilities and city.",5,5,5,5,5
1179004,1st March 23,gooooooooooooooooooooooooooooooooooooooooooooooooooooood,5,5,5,5,5
778966,24th February 23,Exeter University is very nice!,5,5,5,5,5
678876,20th February 23,"Teachers all patient and kindly. I can learn some practical knowledge such as accounting, which is so different from my undergraduate course.",5,5,5,5,5
678584,20th February 23,The environment is good and the teacher is helpful,5,5,5,5,5
1278451,19th February 23,"The best unis ever, beautiful campus, lovely staff and a great way to meet new people, and form great friendships. Great learning styles and an astute institution for research.",5,5,5,5,5
1078392,16th February 23,It’s a really safe university and the school care about us students.,5,5,5,5,5
478344,15th February 23,Environmental and economical place to do masters. Amazing experience,5,5,5,5,5
1278245,14th February 23,"So helpful, very worried about your well being, love the lecturers and facilities",5,5,5,5,5
478240,14th February 23,"Good university, made lots of nice friends. Excellent teaching.",4.4,5,4,5,5
1277906,13th February 23,Actually the stuff in the business school are really welcoming. Especially Bill Peng,5,5,5,5,5
777049,13th February 23,"Good university! Very nice lecturers, very friendly support teams!! You have many opportunities to explore difference major and society, and I believe everyone can meet a nice friends!",5,5,5,5,5
475991,10th February 23,Wenlan service attitude is very good. Answered and resolved our questions even outside of working hours.,5,5,5,5,5
1374949,3rd February 23,I love the school very much! It is beautiful and all my teachers and friends are helpful for my life and studies.,5,5,5,5,5
874798,25th January 23,"Lovely university and all staff are friendly and helpful, many great people to meet.",4,4,5,4,3
1074601,15th January 23,"Lovely place to study, lots of great people for you to meet and get to know.",3.8,4,4,3,5
474371,10th January 23,Overall a great University with loads of facilities available. Campus itself is huge and has a lot of study space,4.2,4,4,4,4
874209,22nd December 22,"It is a great university, suitable for study and doing research.",5,5,5,5,5
674184,14th December 22,"University of exeter is great. It has nice facilities and great social life. The teaching and course content is solid, and the university support network is robust. A great university!",5,5,5,5,5
574182,9th December 22,Great place to study. All the campuses are very nice.,5,5,5,5,5
1174172,9th December 22,This university has excellent teaching and facilities. lots of study areas,4,4,4,4,4
1274171,9th December 22,Awesome uni really enjoying my time there,5,5,5,5,5
1374170,9th December 22,It is a nice university with well taken care of and functional facilities which are in great use to us students for both learning and spending time with friends,5,5,5,5,5
1074152,9th December 22,Beautiful campus and lovely students. Everyone seems happy and that is very heartwarming as a student.,5,5,5,5,5
1374147,9th December 22,Conducive environment to study and explore extra curricular activities,5,5,5,5,5
1173342,9th December 22,"Good social life, nice campus and city. Guild and AI are obstructive and unhelpful",3.4,4,4,3,4
1273302,9th December 22,"It is a university that will surprise you. Did not have much expectations coming in but the campus, staff and societies etc really have stood out and impressed me.",4,4,4,4,4
573270,16th November 22,I love the options for my course and the uni is really great,3.6,4,5,3,2
672860,14th November 22,"Nice university, pretty campus.",4.8,5,5,5,4
772688,14th November 22,"Brilliant University, perfect fit for me even if I dont drink I love attending socials and playing sports here. Best place ever.",5,5,5,5,5
871897,12th November 22,"Great facilities, very helpful staff, especially the business schools career zone",4.8,5,4,5,5
671254,28th October 22,"A good accommodation experience, quiet and convenient",5,5,5,5,5
471190,24th October 22,The university of Exeter is an excellent choice for students and definitely worth looking into.,5,5,5,5,5
1171061,29th September 22,"Great Uni, I look forward to completing my study here on the Falmouth Campus",4.4,4,5,4,5
1370777,5th September 22,The life is interesting and I am glad that I meet many friends here.,5,5,5,5,5
970565,31st August 22,Fine university just nothing particularly stand out.,3,4,4,2,3
1370482,24th August 22,"Beautiful campus, lovely city. Met some amazing people here who I'm sure will be life long friends.",4.4,5,4,4,4
470126,12th August 22,"Overall good experience, wifi definitely needs minor adjustments",3.8,5,4,4,3
1169897,3rd August 22,"If you want to feel as though your only worth to the university is the money you pay them, then this is the right place for you!",3,3,5,3,3
969781,28th July 22,The University of Exeter has been recognised as one of the world's top most prestigious universities in an influential league table.,5,5,5,5,5
969434,18th July 22,everything is up to par as you'd expect for a Russell group university.,3.2,4,3,3,3
769038,9th July 22,"Overall positive Uni experience, very comprehensive in teems of Wellbeing/study support offered",4.4,5,5,5,4
768978,4th July 22,One of the best university of Exeter,4.4,5,4,4,5
1068599,10th June 22,"I've had a great experience so far.
Good selection of societies, good Student Guild, lots of career services, good wifi.
Pretty campus - love how close it is to Exmouth beach and cornwall.
Plenty of opportunity to explore the beauty of the South West of England.
Had no issues with teaching and have enjoyed my first and second year studying English.
Plenty of opportunities to get involved in societies and meet likeminded people!",4,4,4,4,4
768559,18th May 22,The clubs and societies have made me feel at home and included,5,5,5,5,5
1268447,16th May 22,"Great University. The Cornwall campus is absolutely stunning, as beautiful as the Duchy.",4.8,5,4,5,5
968039,29th April 22,The university and resources provided are very good,5,5,5,5,5
567483,27th April 22,Very beautiful University in England .,4.6,5,5,5,5
767404,22nd April 22,"The penryn campus and some departments are a lot worse at dealing with racist issues, also the SU did basically nothing for BHM. The Exeter & Falmouth ACS protested against their own SU and their President had to write a statement addressing the issues. Overall, if your black the chances of you experiencing racism is very high in Cornwall, particularly the Exeter Penryn campus. And when you report it the procedures in place suck.",3,4,5,2,2
1267314,11th April 22,"it's not perfect but nothing is. most beautiful campus ever for sure, lots of mh support",4.8,5,5,5,4
1067277,22nd March 22,"I have loved my time at Exeter, especially the extracurricular work experience, sports clubs and societies that I have had the chance to get involved with!",4.8,5,5,5,4
767272,20th March 22,Really am enjoying my time here as a student so far!,4.2,5,5,4,2
867249,16th March 22,The university is amazing. I am an INTO student so I personally know less about the uni. But I find INTO super great with everything they are doing right now. Love you lots xx,5,5,5,5,5
1267229,15th March 22,"The university is very good in itself, the way it's run and amount of facilities and societies, help and guidance available to students is impressive. One downgrade is that it's up hill but you get used to it",5,5,5,5,5
467209,15th March 22,Good university but lacks student diversity,3.6,4,4,3,4
667182,14th March 22,"Good facilities, close to the town centre",3.2,4,3,3,3
1367095,14th March 22,Nothing to complain about. Great university.,4.2,4,4,4,5
467092,13th March 22,"A university full of vibrant students! Students here at the university are always on the move whether it be to lessons, to independent study or to societies. This is what gets me excited as I know that I am surrounded by students who are full of positive energy and good vibes. This definitely helps to keep me going and motivated enough to get through the intensity and speed of the academic work.",5,5,5,5,5
467090,12th March 22,The medicine cause is too PBL-based. I personally prefer the traditional lecture-based approach.,4,5,4,3,5
1167089,10th March 22,"Great teaching and such amazing views being surrounded by the countryside, there’s also so much to do in Exeter",4.2,4,4,4,5
1367052,10th March 22,There are a lot of places to you could study and also have a bit of fun. Love the atmosphere here,4.2,5,5,5,2
567048,10th March 22,Good place to study for postgrads,4.4,5,4,4,5
867045,10th March 22,Fantastic university - love my course and the facilities.,5,5,5,5,5
